WHITE_USERNAME,WHITE_ELO,WHITE_RESULT,WHITE_ACCURACY,BLACK_USERNAME,BLACK_ELO,BLACK_RESULT,BLACK_ACCURACY,TIME_CONTROL,TIME_CLASS,DATE_TIME,RATED,OPENING
evgchess5,2907,timeout,88.38,MagnusCarlsen,3306,win,92.33,180+1,blitz,2025-06-10T20:27:30,True,Sicilian Defense Kan Modern Polugaevsky Variation...8.Qe2 d6 9.O-O Nd7
MagnusCarlsen,3309,win,96.77,scarabee43,3024,checkmated,84.12,180+1,blitz,2025-06-10T20:36:59,True,Sicilian Defense Open Accelerated Dragon Maroczy Bind Formation...9.O-O Bd7 10.Nc2 Rc8
PursuitOfHappyness2,3088,resigned,84.43,MagnusCarlsen,3313,win,93.0,180+1,blitz,2025-06-10T20:54:19,True,Sicilian Defense Open Kupreichik Variation 6.Bg5 e6 7.Ndb5
wonderfultime,3100,resigned,81.69,MagnusCarlsen,3317,win,86.47,180+1,blitz,2025-06-10T21:07:42,True,London System...5.e3 Qb6 6.Qc2 g6
MagnusCarlsen,3322,win,72.25,Sina-Movahed,3160,resigned,70.88,180+1,blitz,2025-06-10T21:17:36,True,French Defense Advance Paulsen Attack...6.Bd3 cxd4 7.cxd4 Nf5
MagnusCarlsen,3314,timeout,87.09,Hikaru,3349,win,93.86,180+1,blitz,2025-06-10T21:25:45,True,English Opening Kings English Variation...4.d4 exd4 5.Qxd4 d5 6.Nf3
Arash_Tahbaz,3014,timeout,84.13,MagnusCarlsen,3316,win,93.7,180+1,blitz,2025-06-10T21:41:36,True,Pirc Defense Classical Variation 4...Bg7 5.Bc4 O-O 6.O-O
MagnusCarlsen,3323,win,80.25,HansOnTwitch,3259,resigned,78.11,180+1,blitz,2025-06-10T21:53:57,True,Four Knights Game Double Spanish Variation 5.O-O
DenLaz,3189,resigned,86.89,MagnusCarlsen,3328,win,93.77,180+1,blitz,2025-06-10T22:04:43,True,Queens Gambit Declined Exchange Positional Line...7.Bd3 h6 8.Bh4 c6
MagnusCarlsen,3333,win,92.88,Parhamov,3171,resigned,84.51,180,blitz,2025-06-10T22:12:21,True,Queens Gambit Declined Exchange Variation...6.bxc3 c5 7.Rb1 Be7 8.Nf3
Parhamov,3174,insufficient,89.47,MagnusCarlsen,3330,insufficient,89.52,180,blitz,2025-06-10T22:16:44,True,Giuoco Piano Game 4.O-O Nf6 5.d3 O-O 6.h3
